col,Class,Clip,Label
94,Footsteps,3-103599-A.ogg,25
95,Footsteps,2-209475-A.ogg,25
96,Rain,2-81731-A.ogg,37
97,Chainsaw,1-47250-A.ogg,7
98,Rain,4-177250-A.ogg,37
99,Brushing teeth,3-100024-B.ogg,3
100,Crying baby,4-167077-C.ogg,18
101,Coughing,1-58792-A.ogg,13
102,Thunderstorm,4-125072-A.ogg,44
103,Fireworks,1-115545-C.ogg,24
104,Coughing,3-146873-A.ogg,13
105,Hen,2-127109-A.ogg,30
106,Hen,2-120586-A.ogg,30
107,Sheep,5-200329-B.ogg,40
108,Rooster,3-154957-A.ogg,38
109,Toilet flush,5-182404-A.ogg,45
110,Sheep,1-88574-A.ogg,40
111,Helicopter,5-205898-A.ogg,29
112,Sheep,2-182508-B.ogg,40
113,Door knock,2-114254-A.ogg,21
114,Helicopter,5-177957-A.ogg,29
115,Crow,1-39835-B.ogg,17
116,Clock alarm,5-234247-A.ogg,11
117,Drinking - sipping,1-87565-A.ogg,22
118,Sea waves,5-219379-C.ogg,39
119,Hen,1-18074-B.ogg,30
120,Brushing teeth,5-218196-A.ogg,3
121,Glass breaking,4-204119-A.ogg,27
122,Siren,3-58772-A.ogg,41
123,Rain,5-195710-A.ogg,37
124,Coughing,2-108017-A.ogg,13
125,Door - wood creaks,5-188606-A.ogg,20
126,Mouse click,4-204683-A.ogg,34
127,Siren,2-70052-B.ogg,41
128,Car horn,3-243726-A.ogg,5
129,Frog,5-156026-D.ogg,26
130,Crackling fire,1-46272-A.ogg,15
131,Fireworks,4-119648-B.ogg,24
132,Cow,3-124376-B.ogg,14
133,Sneezing,3-156558-A.ogg,42
134,Breathing,3-112557-A.ogg,2
135,Cat,1-79113-A.ogg,6
136,Sheep,5-200329-B.ogg,40
137,Dog,2-122104-B.ogg,19
138,Cat,2-83934-A.ogg,6
139,Drinking - sipping,2-121978-A.ogg,22
140,Rooster,1-27724-A.ogg,38
141,Door knock,1-82817-A.ogg,21
142,Crackling fire,1-17565-A.ogg,15
143,Laughing,4-132816-A.ogg,33
144,Clapping,2-60900-A.ogg,10
145,Door knock,2-114254-A.ogg,21
146,Thunderstorm,5-156999-C.ogg,44
147,Toilet flush,1-54752-A.ogg,45
148,Crickets,1-80840-A.ogg,16
149,Crow,4-159426-A.ogg,17
150,Cow,1-77160-A.ogg,14
151,Rooster,2-96460-A.ogg,38
152,Crackling fire,5-215658-A.ogg,15
153,Wind,4-163609-B.ogg,50
154,Coughing,3-142604-A.ogg,13
155,Car horn,2-125520-A.ogg,5
156,Hand saw,5-253094-B.ogg,28
157,Pouring water,1-79220-A.ogg,36
158,Toilet flush,4-141365-A.ogg,45
159,Glass breaking,4-212698-A.ogg,27
160,Rain,4-177250-A.ogg,37
161,Door - wood creaks,4-160036-A.ogg,20
162,Rain,4-181286-A.ogg,37
163,Pouring water,1-50688-A.ogg,36
164,Wind,4-163606-A.ogg,50
165,Toilet flush,1-56269-A.ogg,45
166,Chirping birds,2-122616-A.ogg,8
167,Crackling fire,2-28314-A.ogg,15
168,Door knock,1-101336-A.ogg,21
169,Crying baby,3-151081-B.ogg,18
170,Crackling fire,4-170247-B.ogg,15
171,Sneezing,1-31748-A.ogg,42
172,Train,4-165845-B.ogg,46
173,Train,2-122067-A.ogg,46
174,Door - wood creaks,4-128659-A.ogg,20
175,Rooster,2-95035-A.ogg,38
176,Helicopter,3-150979-A.ogg,29
177,Coughing,3-125418-A.ogg,13
178,Dog,2-116400-A.ogg,19
179,Pouring water,2-102414-C.ogg,36
180,Toilet flush,3-112356-A.ogg,45
181,Door knock,3-152594-A.ogg,21
182,Drinking - sipping,3-133977-A.ogg,22
183,Frog,3-83527-A.ogg,26
184,Crackling fire,2-28314-B.ogg,15
185,Laughing,4-132816-A.ogg,33
186,Can opening,2-130245-A.ogg,4
187,Clapping,3-177082-A.ogg,10
188,Insects (flying),2-99955-C.ogg,31
189,Drinking - sipping,5-204114-A.ogg,22
190,Frog,3-71964-B.ogg,26
191,Washing machine,3-151273-A.ogg,48
192,Car horn,3-153057-A.ogg,5
193,Train,3-157492-A.ogg,46
194,Crow,5-213836-A.ogg,17
195,Toilet flush,5-177034-A.ogg,45
196,Sea waves,3-155642-A.ogg,39
197,Chirping birds,5-242490-A.ogg,8
198,Coughing,4-155650-A.ogg,13
199,Snoring,4-184235-A.ogg,43
200,Cow,1-69422-A.ogg,14
201,Rain,3-132852-A.ogg,37
202,Snoring,3-151557-B.ogg,43
203,Glass breaking,3-216280-A.ogg,27
204,Car horn,4-175856-A.ogg,5
205,Sneezing,5-201274-A.ogg,42
206,Vacuum cleaner,1-19872-B.ogg,47
207,Can opening,5-250753-A.ogg,4
208,Cat,4-120160-A.ogg,6
209,Crickets,1-65483-A.ogg,16
210,Church bells,4-147658-A.ogg,9
211,Can opening,3-147343-A.ogg,4
212,Fireworks,4-119647-C.ogg,24
213,Water drops,1-90797-A.ogg,49
214,Toilet flush,2-72677-A.ogg,45
215,Pig,1-208757-C.ogg,35
216,Crickets,5-204352-B.ogg,16
217,Hand saw,2-59321-A.ogg,28
218,Laughing,2-79775-A.ogg,33
219,Car horn,4-178402-A.ogg,5
220,Rain,2-72970-A.ogg,37
221,Door - wood creaks,4-107122-A.ogg,20
222,Airplane,4-251959-A.ogg,1
223,Vacuum cleaner,1-19840-A.ogg,47
224,Wind,2-109374-A.ogg,50
225,Clock tick,5-209698-A.ogg,12
226,Cow,1-81269-A.ogg,14
227,Chainsaw,4-157611-B.ogg,7
228,Chirping birds,5-243449-A.ogg,8
229,Airplane,1-36929-A.ogg,1
230,Hand saw,4-251645-B.ogg,28
231,Dog,2-118964-A.ogg,19
232,Crying baby,4-167077-B.ogg,18
233,Pig,3-253084-C.ogg,35
234,Mouse click,3-170312-A.ogg,34
235,Rooster,5-234879-B.ogg,38
236,Cat,3-146965-A.ogg,6
237,Cat,3-146964-A.ogg,6
238,Insects (flying),1-7973-A.ogg,31
239,Thunderstorm,5-156999-B.ogg,44
240,Footsteps,2-209477-A.ogg,25
241,Sheep,1-196660-B.ogg,40
242,Pouring water,5-212730-A.ogg,36
243,Vacuum cleaner,4-146200-A.ogg,47
244,Dog,3-180977-A.ogg,19
245,Vacuum cleaner,4-172734-A.ogg,47
246,Mouse click,2-153388-A.ogg,34
247,Rooster,4-170078-A.ogg,38
248,Cow,2-103428-A.ogg,14
249,Sea waves,5-219379-A.ogg,39
250,Dog,5-212454-A.ogg,19
251,Crying baby,1-22694-A.ogg,18
252,Fireworks,5-160614-F.ogg,24
253,Pouring water,1-51436-A.ogg,36
254,Hand saw,5-253094-D.ogg,28
255,Pig,4-250869-B.ogg,35
256,Drinking - sipping,3-174866-A.ogg,22
257,Hen,1-72229-B.ogg,30
258,Car horn,4-175855-A.ogg,5
259,Frog,5-187201-A.ogg,26
260,Clock tick,2-134700-A.ogg,12
261,Pouring water,1-50688-A.ogg,36
262,Crying baby,4-59579-B.ogg,18
263,Sneezing,5-221518-A.ogg,42
264,Snoring,2-110417-B.ogg,43
265,Brushing teeth,4-154405-B.ogg,3
266,Keyboard typing,1-53501-A.ogg,32
267,Brushing teeth,3-100024-A.ogg,3
268,Pouring water,5-212730-A.ogg,36
269,Clapping,4-189828-A.ogg,10
270,Train,2-122067-B.ogg,46
271,Hen,2-127109-A.ogg,30
272,Sheep,3-197408-C.ogg,40
273,Toilet flush,3-108791-A.ogg,45
274,Coughing,4-169726-A.ogg,13
275,Toilet flush,1-53670-A.ogg,45
276,Crickets,5-204352-A.ogg,16
277,Hand saw,2-60180-B.ogg,28
278,Vacuum cleaner,4-172733-A.ogg,47
279,Dog,2-117271-A.ogg,19
280,Can opening,5-236299-A.ogg,4
281,Rooster,5-233160-A.ogg,38
282,Crying baby,3-152007-E.ogg,18
283,Door knock,3-144510-A.ogg,21
284,Thunderstorm,4-165813-A.ogg,44
285,Crow,3-112397-A.ogg,17
286,Keyboard typing,5-244178-A.ogg,32
287,Fireworks,3-119120-B.ogg,24
288,Coughing,3-145487-A.ogg,13
289,Cow,4-213915-A.ogg,14
290,Hand saw,4-198360-A.ogg,28
291,Laughing,1-36164-B.ogg,33
292,Cat,5-259169-A.ogg,6
293,Cow,3-163727-A.ogg,14
294,Car horn,4-176638-A.ogg,5
295,Laughing,3-107123-A.ogg,33
296,Helicopter,3-68630-C.ogg,29
297,Can opening,1-60676-A.ogg,4
298,Hen,3-188390-A.ogg,30
299,Sneezing,2-82538-A.ogg,42
300,Crow,2-109231-B.ogg,17
301,Church bells,5-204741-A.ogg,9
302,Sheep,3-140199-B.ogg,40
303,Hand saw,3-96606-A.ogg,28
304,Clapping,3-197435-B.ogg,10
305,Thunderstorm,2-39945-A.ogg,44
306,Hen,5-263831-A.ogg,30
307,Glass breaking,4-204777-C.ogg,27
308,Rooster,4-164859-A.ogg,38
309,Footsteps,4-198962-A.ogg,25
310,Laughing,5-253534-A.ogg,33
311,Sneezing,4-171519-A.ogg,42
312,Clock alarm,5-219242-B.ogg,11
313,Clapping,3-130330-A.ogg,10
314,Rain,2-73260-A.ogg,37
315,Helicopter,5-177957-E.ogg,29
316,Pig,2-158746-B.ogg,35
317,Footsteps,3-103599-B.ogg,25
318,Drinking - sipping,5-243635-A.ogg,22
319,Church bells,4-150364-B.ogg,9
320,Sheep,3-140199-A.ogg,40
321,Door knock,2-133889-A.ogg,21
322,Coughing,5-184871-A.ogg,13
323,Sea waves,3-144827-A.ogg,39
324,Sheep,2-110614-A.ogg,40
325,Door knock,2-140841-A.ogg,21
326,Snoring,1-53444-A.ogg,43
327,Train,5-198600-A.ogg,46
328,Cat,3-95695-B.ogg,6
329,Pig,1-260640-B.ogg,35
330,Fireworks,2-165801-A.ogg,24
331,Snoring,5-235893-A.ogg,43
332,Train,4-165845-A.ogg,46
333,Car horn,5-179863-A.ogg,5
334,Airplane,3-115387-A.ogg,1
335,Car horn,5-180156-A.ogg,5
336,Hen,5-263831-B.ogg,30
337,Hand saw,3-96606-B.ogg,28
338,Footsteps,3-249913-A.ogg,25
339,Siren,5-117122-A.ogg,41
340,Thunderstorm,5-156999-A.ogg,44
341,Cat,1-34094-A.ogg,6
342,Wind,2-109371-B.ogg,50
343,Clock tick,4-188033-A.ogg,12
344,Insects (flying),3-105236-A.ogg,31
345,Water drops,2-64962-A.ogg,49
346,Engine,3-146186-A.ogg,23
347,Brushing teeth,2-92627-A.ogg,3
348,Hen,3-171281-A.ogg,30
349,Rooster,1-34119-B.ogg,38
350,Sea waves,2-124662-A.ogg,39
351,Pig,5-103418-A.ogg,35
352,Clock tick,3-150363-A.ogg,12
353,Washing machine,4-218199-D.ogg,48
354,Pig,2-158746-B.ogg,35
355,Clock alarm,2-102435-A.ogg,11
356,Breathing,3-166125-A.ogg,2
357,Hen,5-248341-A.ogg,30
358,Cow,1-202111-A.ogg,14
359,Door knock,3-182023-A.ogg,21
360,Clapping,5-218494-A.ogg,10
361,Sneezing,5-187979-A.ogg,42
362,Toilet flush,4-123680-A.ogg,45
363,Pouring water,5-214362-A.ogg,36
364,Toilet flush,1-54752-A.ogg,45
365,Coughing,4-177835-A.ogg,13
366,Wind,3-134699-B.ogg,50
367,Coughing,5-184871-A.ogg,13
368,Toilet flush,2-70280-A.ogg,45
369,Pouring water,1-118559-A.ogg,36
370,Clock tick,1-62850-A.ogg,12
371,Cow,2-103424-A.ogg,14
372,Rain,3-157149-A.ogg,37
373,Siren,5-150409-A.ogg,41
374,Sheep,4-250864-A.ogg,40
375,Hen,2-76868-A.ogg,30
376,Hand saw,5-253101-B.ogg,28
377,Can opening,2-83667-A.ogg,4
378,Cat,2-69131-A.ogg,6
379,Clapping,2-76408-A.ogg,10
380,Cat,3-95697-A.ogg,6
381,Crackling fire,4-171207-A.ogg,15
382,Snoring,3-151255-A.ogg,43
383,Insects (flying),3-110913-B.ogg,31
384,Door knock,2-120218-A.ogg,21
385,Snoring,5-216368-A.ogg,43
386,Breathing,5-260164-A.ogg,2
387,Clock tick,2-134700-A.ogg,12
388,Glass breaking,4-212698-A.ogg,27
389,Insects (flying),4-182314-B.ogg,31
390,Vacuum cleaner,5-182007-A.ogg,47
391,Helicopter,2-188822-C.ogg,29
392,Water drops,5-259180-A.ogg,49
393,Clock alarm,4-198841-A.ogg,11
394,Pig,5-117250-A.ogg,35
395,Siren,2-70938-A.ogg,41
396,Water drops,3-164595-A.ogg,49
397,Chirping birds,2-72547-C.ogg,8
398,Crickets,2-96033-A.ogg,16
399,Airplane,1-43807-C.ogg,1
400,Brushing teeth,2-86160-A.ogg,3
401,Sneezing,2-119102-A.ogg,42
402,Toilet flush,5-156698-A.ogg,45
403,Helicopter,4-161579-B.ogg,29
404,Sneezing,3-150231-A.ogg,42
405,Sea waves,3-155642-A.ogg,39
406,Siren,1-76831-D.ogg,41
407,Frog,2-32834-A.ogg,26
408,Sneezing,4-185619-A.ogg,42
409,Cat,1-56380-B.ogg,6
410,Chirping birds,2-72547-B.ogg,8
411,Brushing teeth,1-58923-A.ogg,3
412,Footsteps,3-103598-A.ogg,25
413,Insects (flying),3-110913-C.ogg,31
414,Footsteps,5-263501-A.ogg,25
415,Cow,1-58277-A.ogg,14
416,Car horn,4-175845-A.ogg,5
417,Crow,3-124925-A.ogg,17
418,Crow,1-56233-A.ogg,17
419,Pouring water,5-212734-A.ogg,36
420,Frog,5-189795-A.ogg,26
421,Clapping,3-149465-A.ogg,10
422,Fireworks,3-119120-A.ogg,24
423,Dog,2-117271-A.ogg,19
424,Car horn,5-179860-A.ogg,5
425,Wind,5-157204-A.ogg,50
426,Chirping birds,5-242490-A.ogg,8
427,Hand saw,2-184077-A.ogg,28
428,Frog,2-32515-C.ogg,26
429,Fireworks,3-251617-A.ogg,24
430,Door knock,2-118624-A.ogg,21
431,Sheep,3-20861-A.ogg,40
432,Siren,2-43802-A.ogg,41
433,Fireworks,5-160614-E.ogg,24
434,Keyboard typing,1-79711-A.ogg,32
435,Breathing,2-98392-A.ogg,2
436,Clock alarm,3-117793-A.ogg,11
437,Hand saw,4-102844-C.ogg,28
438,Cat,5-256452-A.ogg,6
439,Chainsaw,5-171653-A.ogg,7
440,Chirping birds,5-257839-A.ogg,8
441,Train,2-135649-A.ogg,46
442,Coughing,4-152995-A.ogg,13
443,Glass breaking,1-88807-A.ogg,27
444,Door - wood creaks,3-101381-A.ogg,20
445,Breathing,4-205526-A.ogg,2
446,Brushing teeth,4-154405-B.ogg,3
447,Door knock,3-144510-A.ogg,21
448,Washing machine,4-218199-B.ogg,48
449,Helicopter,5-177957-B.ogg,29
450,Engine,1-18527-B.ogg,23
451,Crow,3-127890-A.ogg,17
452,Cat,5-177614-A.ogg,6
453,Coughing,3-151213-A.ogg,13
454,Mouse click,2-152895-A.ogg,34
455,Snoring,1-47923-A.ogg,43
456,Siren,2-70052-B.ogg,41
457,Water drops,3-164593-A.ogg,49
458,Coughing,1-63679-A.ogg,13
459,Drinking - sipping,5-207836-D.ogg,22
460,Thunderstorm,2-39945-C.ogg,44
461,Mouse click,2-154688-A.ogg,34
462,Mouse click,1-97793-A.ogg,34
463,Dog,4-191687-A.ogg,19
464,Church bells,5-201172-A.ogg,9
465,Insects (flying),5-198278-B.ogg,31
466,Pouring water,4-168868-A.ogg,36
467,Wind,2-104952-A.ogg,50
468,Keyboard typing,3-155568-A.ogg,32
469,Insects (flying),2-160128-A.ogg,31
470,Crackling fire,4-164661-A.ogg,15
471,Helicopter,5-191131-A.ogg,29
472,Glass breaking,2-106881-A.ogg,27
473,Door - wood creaks,5-161270-A.ogg,20
474,Sheep,5-198891-B.ogg,40
475,Breathing,4-176914-A.ogg,2
476,Crackling fire,3-147965-A.ogg,15
477,Mouse click,5-223317-A.ogg,34
478,Church bells,4-147657-A.ogg,9
479,Sea waves,5-219379-B.ogg,39
480,Laughing,5-242932-B.ogg,33
481,Fireworks,2-117615-B.ogg,24
482,Engine,4-195451-A.ogg,23
483,Chainsaw,5-222524-A.ogg,7
484,Pig,1-260640-C.ogg,35
485,Dog,3-163459-A.ogg,19
486,Breathing,1-36397-A.ogg,2
487,Breathing,2-54961-A.ogg,2
488,Water drops,4-188293-B.ogg,49
489,Hen,4-200330-A.ogg,30
490,Drinking - sipping,3-144259-A.ogg,22
491,Thunderstorm,5-156999-A.ogg,44
492,Crickets,5-210540-A.ogg,16
493,Mouse click,2-146877-B.ogg,34
494,Brushing teeth,1-67432-A.ogg,3
495,Sheep,2-110614-B.ogg,40
496,Can opening,2-144031-A.ogg,4
497,Engine,5-243773-A.ogg,23
498,Fireworks,5-160614-H.ogg,24
499,Clock tick,3-142593-A.ogg,12
500,Cow,5-202795-A.ogg,14
501,Crickets,2-83270-A.ogg,16
502,Snoring,3-130998-A.ogg,43
503,Insects (flying),3-105236-A.ogg,31
504,Door - wood creaks,3-118194-A.ogg,20
505,Sea waves,1-61252-A.ogg,39
506,Clock tick,5-219342-A.ogg,12
507,Snoring,4-197454-A.ogg,43
508,Train,3-135650-A.ogg,46
509,Pouring water,5-215634-A.ogg,36
510,Siren,1-76831-B.ogg,41
511,Siren,3-62878-A.ogg,41
512,Crow,5-213836-D.ogg,17
513,Brushing teeth,3-118069-B.ogg,3
514,Hen,2-157488-A.ogg,30
515,Breathing,3-112557-B.ogg,2
516,Coughing,4-155650-A.ogg,13
517,Crying baby,2-50665-A.ogg,18
518,Sea waves,2-125966-A.ogg,39
519,Siren,2-70052-A.ogg,41
520,Drinking - sipping,5-207836-B.ogg,22
521,Water drops,1-12654-B.ogg,49
522,Siren,5-184323-A.ogg,41
523,Glass breaking,3-216284-A.ogg,27
524,Hand saw,3-97909-B.ogg,28
525,Airplane,3-143562-A.ogg,1
526,Rain,5-202898-A.ogg,37
527,Thunderstorm,4-125070-A.ogg,44
528,Breathing,3-112557-B.ogg,2
529,Chainsaw,3-118658-A.ogg,7
530,Engine,5-243773-B.ogg,23
531,Coughing,5-204604-A.ogg,13
532,Breathing,5-261464-A.ogg,2
533,Sea waves,5-200461-A.ogg,39
534,Washing machine,5-260875-A.ogg,48
535,Door - wood creaks,3-103401-A.ogg,20
536,Toilet flush,5-185908-A.ogg,45
537,Engine,5-243783-A.ogg,23
538,Sheep,3-197408-C.ogg,40
539,Keyboard typing,3-155570-A.ogg,32
540,Wind,1-47709-A.ogg,50
541,Chainsaw,4-165823-A.ogg,7
542,Thunderstorm,2-39443-B.ogg,44
543,Door - wood creaks,2-70366-A.ogg,20
544,Snoring,1-40621-A.ogg,43
545,Pouring water,5-212736-A.ogg,36
546,Mouse click,3-170851-A.ogg,34
547,Clapping,3-177082-A.ogg,10
548,Glass breaking,4-204777-B.ogg,27
549,Wind,2-109371-D.ogg,50
550,Toilet flush,2-74977-A.ogg,45
551,Sheep,5-198891-C.ogg,40
552,Thunderstorm,1-23222-B.ogg,44
553,Rooster,2-95258-A.ogg,38
554,Clapping,5-209989-A.ogg,10
555,Church bells,4-150364-B.ogg,9
556,Fireworks,3-119120-E.ogg,24
557,Airplane,3-128512-B.ogg,1
558,Glass breaking,3-203371-A.ogg,27
559,Crackling fire,1-4211-A.ogg,15
560,Frog,2-32515-C.ogg,26
561,Crying baby,1-60997-A.ogg,18
562,Keyboard typing,4-181707-A.ogg,32
563,Church bells,3-122110-A.ogg,9
564,Cow,1-81269-A.ogg,14
565,Clock tick,3-164688-A.ogg,12
566,Washing machine,1-49098-A.ogg,48
567,Crickets,4-194246-A.ogg,16
568,Fireworks,5-160614-G.ogg,24
569,Pig,1-208757-D.ogg,35
570,Airplane,2-160888-A.ogg,1
571,Airplane,4-161105-B.ogg,1
572,Crackling fire,5-193473-B.ogg,15
573,Siren,2-43802-A.ogg,41
574,Clock tick,2-131943-A.ogg,12
575,Door - wood creaks,1-51805-F.ogg,20
576,Toilet flush,5-201664-A.ogg,45
577,Wind,4-144085-A.ogg,50
578,Sheep,1-49409-A.ogg,40
579,Airplane,1-43807-B.ogg,1
580,Laughing,5-263775-A.ogg,33
581,Toilet flush,1-46274-A.ogg,45
582,Crow,3-129264-A.ogg,17
583,Snoring,3-151255-A.ogg,43
584,Church bells,3-87936-A.ogg,9
585,Door knock,3-182025-A.ogg,21
586,Brushing teeth,4-172500-D.ogg,3
587,Clock tick,2-140147-A.ogg,12
588,Toilet flush,3-108677-A.ogg,45
589,Engine,2-107228-B.ogg,23
590,Car horn,3-155234-A.ogg,5
591,Can opening,3-147342-A.ogg,4
592,Car horn,5-180156-C.ogg,5
593,Chainsaw,5-171653-A.ogg,7
594,Pig,4-147240-A.ogg,35
595,Snoring,5-236288-A.ogg,43
596,Snoring,4-183882-B.ogg,43
597,Vacuum cleaner,4-172736-B.ogg,47
598,Keyboard typing,4-181707-A.ogg,32
599,Pouring water,5-205589-B.ogg,36
600,Clock alarm,4-209698-A.ogg,11
601,Car horn,3-161010-A.ogg,5
602,Crow,4-173865-A.ogg,17
603,Water drops,5-254832-B.ogg,49
604,Drinking - sipping,2-122763-B.ogg,22
605,Chirping birds,2-72547-B.ogg,8
606,Sneezing,2-130978-A.ogg,42
607,Crow,5-261325-A.ogg,17
608,Door - wood creaks,1-51805-B.ogg,20
609,Breathing,1-36400-A.ogg,2
610,Airplane,5-215445-A.ogg,1
611,Crickets,3-163607-A.ogg,16
612,Chirping birds,3-155578-A.ogg,8
613,Keyboard typing,1-61212-A.ogg,32
614,Cow,1-202111-A.ogg,14
615,Door - wood creaks,1-51805-E.ogg,20
616,Cat,5-256452-A.ogg,6
617,Breathing,5-234335-A.ogg,2
618,Door - wood creaks,2-91912-B.ogg,20
619,Chirping birds,5-243459-B.ogg,8
620,Toilet flush,2-85945-A.ogg,45
621,Rooster,1-44831-A.ogg,38
622,Sneezing,3-143119-A.ogg,42
623,Footsteps,1-155858-E.ogg,25
624,Helicopter,4-161579-A.ogg,29
625,Chainsaw,2-50667-A.ogg,7
626,Chirping birds,5-243459-A.ogg,8
627,Drinking - sipping,2-126756-A.ogg,22
628,Train,2-122067-B.ogg,46
629,Washing machine,4-218199-D.ogg,48
630,Door knock,4-182039-A.ogg,21
631,Toilet flush,1-28005-A.ogg,45
632,Door - wood creaks,4-132839-A.ogg,20
633,Airplane,3-143560-A.ogg,1
634,Airplane,5-215449-A.ogg,1
635,Cow,4-213915-B.ogg,14
636,Breathing,2-66205-A.ogg,2
637,Sneezing,5-220026-A.ogg,42
638,Car horn,1-26177-A.ogg,5
639,Hen,5-244315-A.ogg,30
640,Snoring,1-47923-A.ogg,43
641,Hen,2-72268-A.ogg,30
642,Door - wood creaks,1-51805-G.ogg,20
643,Toilet flush,1-56269-A.ogg,45
644,Vacuum cleaner,5-182012-A.ogg,47
645,Fireworks,2-117615-D.ogg,24
646,Sea waves,5-208810-A.ogg,39
647,Vacuum cleaner,5-182010-A.ogg,47
648,Brushing teeth,4-144468-B.ogg,3
649,Train,3-159445-A.ogg,46
650,Drinking - sipping,3-185456-A.ogg,22
651,Siren,3-51909-A.ogg,41
652,Church bells,5-219044-A.ogg,9
653,Clock tick,5-209833-A.ogg,12
654,Clapping,2-57733-A.ogg,10
655,Toilet flush,4-135439-A.ogg,45
656,Door - wood creaks,2-91912-B.ogg,20
657,Washing machine,1-27165-A.ogg,48
658,Insects (flying),5-195517-A.ogg,31
659,Airplane,5-235956-A.ogg,1
660,Toilet flush,3-118059-A.ogg,45
661,Wind,2-205966-A.ogg,50
662,Keyboard typing,5-223099-A.ogg,32
663,Keyboard typing,5-234923-A.ogg,32
664,Can opening,4-187384-A.ogg,4
665,Pouring water,2-102414-B.ogg,36
666,Door - wood creaks,5-191497-A.ogg,20
667,Sheep,4-188703-C.ogg,40
668,Keyboard typing,4-172180-A.ogg,32
669,Pouring water,2-102414-G.ogg,36
670,Chirping birds,2-72547-A.ogg,8
671,Clapping,1-94036-A.ogg,10
672,Door - wood creaks,3-103401-D.ogg,20
673,Rain,3-157487-A.ogg,37
674,Frog,1-17970-A.ogg,26
675,Fireworks,3-172922-A.ogg,24
